0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,149,132,141,140,96,71,59,46,41,71,91,99,0
138,180,156,138,126,85,35,24,42,78,112,109,103,0
152,187,192,161,106,46,24,34,55,118,150,126,99,0
126,167,172,128,60,31,48,76,103,152,164,129,94,0
118,157,102,38,22,35,71,115,161,191,180,130,88,0
107,112,36,15,44,78,114,166,182,199,183,135,105,0
113,58,20,19,48,76,139,196,190,175,158,138,138,0
152,99,53,24,16,19,79,159,198,174,163,164,174,0
178,175,140,57,6,14,35,87,149,191,186,177,185,0
188,193,183,130,71,40,6,15,75,157,146,129,141,0
176,186,194,191,142,76,33,20,27,75,130,104,68,0
146,150,152,159,133,78,48,38,17,32,87,102,87,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
